Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0u1,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,-118.2,40.25,90,bottom
C2,0u1,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,-172.1,41.0625,90,bottom
C3,0u01,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,-115.7,40.25,90,bottom
C4,0u01,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,-169.7,41,90,bottom
C5,0u01,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,-35.57301,33.62051,180,bottom
C6,0u1,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,-35.57301,31.12051,180,bottom
C7,0u01,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,-44.28551,47.78301,90,bottom
C8,0u1,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,-144.2,40,180,bottom
C9,0u1,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,-46.78551,47.78301,90,bottom
C10,0u1,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,-88.7,40.2125,90,bottom
C11,0u01,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,-144.2,42.5,180,bottom
C12,0u01,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,-21.28551,40.62051,-90,bottom
C13,0u01,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,-91.2,40.2125,90,bottom
C14,0u1,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,-18.78551,40.62051,-90,bottom
C15,0u1,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,-73.7,97,90,bottom
C16,0u1,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,-44.35,105.7,180,bottom
C17,0u1,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,-39.7,75.5,-90,bottom
C22,0u1,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,-48.2,59,180,bottom
C23,0u1,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,-79.85051,54.24,90,bottom
